スタッフ名,属性,1日,2日,3日,4日,5日,6日,7日,8日,9日,10日,11日,12日,13日,14日,15日,16日,17日,18日,19日,20日,21日,22日,23日,24日,25日,26日,27日,28日,29日,30日
スタッフ01,リーダー,明け,明け,公休,明け,日勤,明け,公休,日勤,夜勤,明け,日勤,明け,公休,公休,日勤,公休,夜勤,明け,日勤,公休,明け,公休,明け,日勤,日勤,公休,公休,日勤,夜勤,明け
スタッフ02,リーダー,明け,日勤,公休,公休,公休,明け,公休,明け,夜勤,明け,明け,夜勤,明け,夜勤,明け,夜勤,明け,明け,明け,明け,日勤,公休,日勤,公休,明け,公休,公休,日勤,公休,明け
スタッフ03,リーダー,公休,明け,公休,明け,日勤,日勤,明け,明け,公休,公休,日勤,明け,夜勤,明け,公休,日勤,明け,夜勤,明け,公休,日勤,公休,夜勤,明け,明け,公休,公休,夜勤,明け,明け
スタッフ04,リーダー,日勤,明け,公休,日勤,公休,公休,日勤,夜勤,明け,夜勤,明け,日勤,公休,公休,日勤,日勤,日勤,日勤,日勤,日勤,夜勤,明け,公休,夜勤,明け,公休,公休,日勤,日勤,公休
スタッフ05,一般,公休,明け,公休,明け,公休,公休,明け,日勤,明け,公休,夜勤,明け,公休,明け,明け,公休,日勤,明け,明け,日勤,明け,明け,公休,公休,明け,日勤,夜勤,明け,明け,明け
スタッフ06,一般,明け,日勤,明け,公休,公休,公休,夜勤,明け,日勤,日勤,明け,夜勤,明け,公休,夜勤,明け,公休,日勤,明け,公休,明け,明け,日勤,日勤,公休,公休,日勤,公休,夜勤,明け
スタッフ07,一般,夜勤,明け,日勤,公休,公休,夜勤,明け,公休,日勤,明け,公休,明け,明け,夜勤,明け,明け,公休,公休,公休,明け,明け,日勤,日勤,夜勤,明け,明け,日勤,公休,日勤,公休
スタッフ08,一般,明け,公休,明け,夜勤,明け,日勤,公休,日勤,公休,明け,公休,日勤,明け,公休,明け,公休,公休,公休,明け,夜勤,明け,日勤,夜勤,明け,夜勤,明け,公休,明け,日勤,夜勤
スタッフ09,一般,公休,日勤,公休,夜勤,明け,公休,明け,公休,明け,明け,公休,日勤,日勤,公休,明け,公休,明け,明け,明け,夜勤,明け,明け,公休,明け,明け,夜勤,明け,明け,公休,明け
スタッフ10,一般,公休,明け,夜勤,明け,公休,明け,夜勤,明け,公休,夜勤,明け,公休,日勤,公休,公休,明け,夜勤,明け,夜勤,明け,明け,明け,公休,明け,日勤,明け,日勤,公休,公休,明け
スタッフ11,一般,日勤,夜勤,明け,公休,夜勤,明け,公休,夜勤,明け,公休,公休,公休,明け,公休,公休,夜勤,明け,明け,日勤,日勤,明け,夜勤,明け,明け,公休,日勤,明け,夜勤,明け,公休
スタッフ12,一般,公休,公休,夜勤,明け,公休,夜勤,明け,明け,公休,日勤,日勤,明け,公休,日勤,夜勤,明け,明け,夜勤,明け,明け,夜勤,明け,明け,公休,日勤,日勤,公休,公休,公休,日勤
スタッフ13,新人,日勤,夜勤,明け,明け,日勤,公休,公休,明け,公休,明け,夜勤,明け,公休,日勤,公休,日勤,明け,公休,夜勤,明け,公休,夜勤,明け,日勤,夜勤,明け,公休,公休,明け,日勤
スタッフ14,新人,夜勤,明け,明け,日勤,公休,公休,日勤,明け,公休,日勤,明け,公休,明け,日勤,明け,明け,日勤,日勤,明け,公休,日勤,公休,明け,明け,公休,明け,公休,公休,明け,明け
スタッフ15,新人,明け,公休,日勤,日勤,夜勤,明け,日勤,公休,公休,明け,明け,公休,夜勤,明け,日勤,公休,明け,明け,明け,公休,公休,日勤,公休,公休,明け,夜勤,明け,明け,明け,日勤
スタッフ16,新人,明け,明け,日勤,明け,公休,日勤,明け,公休,日勤,公休,明け,明け,日勤,公休,明け,明け,明け,公休,明け,公休,公休,明け,明け,公休,公休,明け,夜勤,明け,明け,夜勤
